Black,#000000
Navy,#000080
DarkBlue,#00008b
MediumBlue,#0000cd
Blue,#0000ff
DarkGreen,#006400
Green,#008000
Teal,#008080
DarkCyan,#008b8b
DeepSkyBlue,#00bfff
DarkTurquoise,#00ced1
MediumSpringGreen,#00fa9a
Lime,#00ff00
SpringGreen,#00ff7f
Aqua,#00ffff
Cyan,#00ffff
MidnightBlue,#191970
DodgerBlue,#1e90ff
LightSeaGreen,#20b2aa
ForestGreen,#228b22
SeaGreen,#2e8b57
DarkSlateGray,#2f4f4f
LimeGreen,#32cd32
MediumSeaGreen,#3cb371
Turquoise,#40e0d0
RoyalBlue,#4169e1
SteelBlue,#4682b4
DarkSlateBlue,#483d8b
MediumTurquoise,#48d1cc
Indigo,#4b0082
DarkOliveGreen,#556b2f
CadetBlue,#5f9ea0
CornFlowerBlue,#6495ed
MediumAquamarine,#66cdaa
DimGray,#696969
SlateBlue,#6a5acd
OliveDrab,#6b8e23
SlateGray,#708090
LightSlateGray,#778899
MediumSlateBlue,#7b68ee
Chartreuse,#7fff00
Aquamarine,#7fffd4
Maroon,#800000
Purple,#800080
Olive,#808000
Gray,#808080
SkyBlue,#87ceeb
LightSkyBlue,#87cefa
BlueViolet,#8a2be2
DarkRed,#8b0000
SaddleBrown,#8b4513
DarkSeaGreen,#8fbc8f
LightGreen,#90ee90
MediumPurple,#9370db
DarkViolet,#9400d3
PaleGreen,#98fb98
DarkOrchid,#9932cc
YellowGreen,#9acd32
Sienna,#a0522d
AliceBlue,#a0ce00
Brown,#a52a2a
DarkGray,#a9a9a9
LightBlue,#add8e6
GreenYellow,#adff2f
PaleTurquoise,#afeeee
LightSteelBlue,#b0c4de
PowderBlue,#b0e0e6
FireBrick,#b22222
DarkGoldenrod,#b8860b
MediumOrchid,#ba55d3
RosyBrown,#bc8f8f
DarkMagenta,#bd008b
DarkKhaki,#bdb76b
Silver,#c0c0c0
MediumVioletred,#c71585
IndianRed,#cd5c5c
Peru,#cd853f
Chocolate,#d2691e
Tan,#d2b486
LightGray,#d3d3d3
Thistle,#d8bfdb
Orchid,#da70d6
Goldenrod,#daa520
PaleVioletred,#db7093
Crimson,#dc143c
Gainsboro,#dcdcdc
Plum,#dda0dd
BurlyWood,#deb887
LightCyan,#e0ffff
Lavender,#e6e6fa
DarkSaimon,#e9967a
Violet,#ee82ee
PaleGoldenrod,#eee8aa
LightCoral,#f08080
Khaki,#f0e68c
Honeydew,#f0fff0
Azure,#f0ffff
Wheat,#f5deb3
Beige,#f5f5dc
WhiteSmoke,#f5f5f5
MintCream,#f5fffa
GhostWhite,#f8f8ff
AntiqueWhite,#faebd7
Linen,#faf0e6
LightGoldenrodYellow,#fafad2
OldLace,#fdf5e6
Red,#ff0000
Fuchsia,#ff00ff
Magenta,#ff00ff
DeepPink,#ff1493
OrangeRed,#ff4500
Tomato,#ff6347
HotPink,#ff69b4
Coral,#ff7f50
DarkOrange,#ff8c00
LightSalmon,#ffa07a
Orange,#ffa500
LightPink,#ffb6c1
Pink,#ffc0cb
Gold,#ffd700
PeachPuff,#ffdab9
NavajoWhite,#ffdead
Bisque,#ffe4c4
MistyRose,#ffe4e1
BlanchedAlmond,#ffebcd
PapayaWhip,#ffefd5
LavenderBlush,#fff0f5
SeaShell,#fff5ee
CornSilk,#fff8dc
LemonChiffon,#fffacd
FloralWhite,#fffaf0
Snow,#fffafa
Yellow,#ffff00
LightYellow,#ffffe0
Ivory,#fffff0
White,#ffffff